,species,family,name,region,part,source
878,Ocimum americanum (=O. canum),Lamiaceae,partminger,Trop OW,leaf,van_wyk_culinary_2014
879,Ocimum basilicum,Lamiaceae,sweet basil,Trop As,leaf,van_wyk_culinary_2014
880,Ocimum basilicum,Lamiaceae,basil,Trop As,leaf,van_wyk_culinary_2014
881,Ocimum basilicum,Lamiaceae,common basil lemon basil,Trop As,leaf,van_wyk_culinary_2014
882,Ocimum ×citriodorum,Lamiaceae,lemon basil,cultivated,leaf,van_wyk_culinary_2014
883,Ocimum ×citriodorum,Lamiaceae,kemanji,cultivated,leaf,van_wyk_culinary_2014
884,Ocimum forskolei,Lamiaceae,mint-leaf basil,cultivated,leaf,van_wyk_culinary_2014
885,Ocimum gratissimum (=O. suave),Lamiaceae,African basil,S As; Trop Afr,leaf; herb,van_wyk_culinary_2014
886,Ocimum gratissimum (=O. suave),Lamiaceae,sweet scented basil clove basil,S As; Trop Afr,leaf; herb,van_wyk_culinary_2014
887,Ocimum gratissimum (=O. suave),Lamiaceae,Russian basil,S As; Trop Afr,leaf; herb,van_wyk_culinary_2014
888,Ocimum kilimandscharicum,Lamiaceae,camphor basil,E Afr,leaf,van_wyk_culinary_2014
889,Ocimum tenuiflorum (=O. sanctum),Lamiaceae,holy basil,Trop As,leaf; herb,van_wyk_culinary_2014
890,Ocimum tenuiflorum (=O. sanctum),Lamiaceae,sacred basil,Trop As,leaf; herb,van_wyk_culinary_2014
891,Ocimum tenuiflorum (=O. sanctum),Lamiaceae,Thai basil,Trop As,leaf; herb,van_wyk_culinary_2014
892,Ocotea cymbarum,Lauraceae,canela,Braz,bark; calyx,van_wyk_culinary_2014
893,Ocotea puchury-major,Lauraceae,louro-puxuri,S Am,seed,van_wyk_culinary_2014
894,Ocotea puchury-major,Lauraceae,pichuri,S Am,seed,van_wyk_culinary_2014
895,Ocotea puchury-major,Lauraceae,pixurim,S Am,seed,van_wyk_culinary_2014
896,Ocotea puchury-major,Lauraceae,puchuiri,S Am,seed,van_wyk_culinary_2014
897,Ocotea quixos,Lauraceae,American cinnamon,Ecuador,flower,van_wyk_culinary_2014
898,Ocotea quixos,Lauraceae,ocotea,Ecuador,flower,van_wyk_culinary_2014
899,Ocotea pretiosa,Lauraceae,false sassafras,Braz,bark; leaf,van_wyk_culinary_2014
900,Oenanthe javanica,Apiaceae,water dropwort,Indomal,herb,van_wyk_culinary_2014
901,Oenanthe javanica,Apiaceae,water celery,Indomal,herb,van_wyk_culinary_2014
902,Oenanthe javanica,Apiaceae,water parsley,Indomal,herb,van_wyk_culinary_2014
903,Origanum dictamnus,Lamiaceae,dittany of Crete,Greece; Crete,herb,van_wyk_culinary_2014
904,Origanum majorana,Lamiaceae,marjoram,Med; Turkey,herb,van_wyk_culinary_2014
905,Origanum majorana,Lamiaceae,sweet marjoram,Med; Turkey,herb,van_wyk_culinary_2014
906,Origanum onites,Lamiaceae,pot marjoram,Eur; E Med,herb,van_wyk_culinary_2014
907,Origanum syriacum,Lamiaceae,Syrian oregano,SE Eur; W As,herb,van_wyk_culinary_2014
908,Origanum syriacum,Lamiaceae,za’atar,SE Eur; W As,herb,van_wyk_culinary_2014
909,Origanum syriacum,Lamiaceae,zatar,SE Eur; W As,herb,van_wyk_culinary_2014
910,Origanum syriacum,Lamiaceae,white oregano,SE Eur; W As,herb,van_wyk_culinary_2014
911,Origanum vulgare,Lamiaceae,oregano,Eur; C As,herb,van_wyk_culinary_2014
912,Origanum vulgare,Lamiaceae,wild marjoram,Eur; C As,herb,van_wyk_culinary_2014
913,Origanum vulgare,Lamiaceae,pizza herb,Eur; C As,herb,van_wyk_culinary_2014
914,Osmanthus fragrans,Oleaceae,sweet osmanthus flower,E As (China),flower,van_wyk_culinary_2014
915,Osmanthus fragrans,Oleaceae,fragrant olive,E As (China),flower,van_wyk_culinary_2014
916,Osmanthus fragrans,Oleaceae,sweet olive,E As (China),flower,van_wyk_culinary_2014
917,Osmanthus fragrans,Oleaceae,tea olive,E As (China),flower,van_wyk_culinary_2014
918,Ottelia alismoides,Hydrocharitaceae,water-plantain,China; Jap; Aus; NE Afr,leaf,van_wyk_culinary_2014
919,Ottelia alismoides,Hydrocharitaceae,ottelia,China; Jap; Aus; NE Afr,leaf,van_wyk_culinary_2014
920,Oxalis acetosella,Oxalidaceae,common wood sorrel,Eur; As,leaf,van_wyk_culinary_2014
921,Oxalis acetosella,Oxalidaceae,wood sorrel,Eur; As,leaf,van_wyk_culinary_2014
922,Oxalis acetosella,Oxalidaceae,shamrock,Eur; As,leaf,van_wyk_culinary_2014
923,Oxalis corniculata,Oxalidaceae,creeping wood sorrel,Med,leaf,van_wyk_culinary_2014
924,Oxalis corniculata,Oxalidaceae,creeping oxalis,Med,leaf,van_wyk_culinary_2014
925,Oxalis pes-caprae,Oxalidaceae,sorrel,S Afr,leaf,van_wyk_culinary_2014
926,Oxalis pes-caprae,Oxalidaceae,yellow sorrel,S Afr,leaf,van_wyk_culinary_2014
927,Pandanus amaryllifolius,Pandanaceae,pandan,Trop As (Moluccas),wilted leaves,van_wyk_culinary_2014
928,Pandanus amaryllifolius,Pandanaceae,fragrant pandan,Trop As (Moluccas),wilted leaves,van_wyk_culinary_2014
929,Pandanus tectorius,Pandanaceae,fragrant screwpine,Trop OW,leaf; male flowers,van_wyk_culinary_2014
930,Papaver somniferum,Papaveraceae,opium poppy,Med; SW As,seed,van_wyk_culinary_2014
931,Papaver somniferum,Papaveraceae,poppy,Med; SW As,seed,van_wyk_culinary_2014
932,Parinari curatellifolia,Chrysobalanceae,mobola,Trop Afr,fruit,van_wyk_culinary_2014
933,Parinari curatellifolia,Chrysobalanceae,mbura,Trop Afr,fruit,van_wyk_culinary_2014
934,Parkia speciosa,Mimosaceae,petai,Trop As,seed,van_wyk_culinary_2014
935,Parkia speciosa,Mimosaceae,locust bean,Trop As,seed,van_wyk_culinary_2014
936,Pastinaca sativa,Apiaceae,parsnip,Eur; W As,leaf; root,van_wyk_culinary_2014
937,Peganum harmala,Zygophyllaceae,African rue,Med; As,seed,van_wyk_culinary_2014
938,Peganum harmala,Zygophyllaceae,Syrian rue,Med; As,seed,van_wyk_culinary_2014
939,Peganum harmala,Zygophyllaceae,mountain rue,Med; As,seed,van_wyk_culinary_2014
940,Peganum harmala,Zygophyllaceae,wild rue,Med; As,seed,van_wyk_culinary_2014
941,Pelargonium capitatum,Geraniaceae,rose-scented geranium,S Afr,leaf,van_wyk_culinary_2014
