species,family,name,region,part,source
Artemisia rehan,Asteraceae,rehan; Ethiopian wormwood,Afr,leaf; herb,van_wyk_culinary_2014
Artemisia vulgaris,Asteraceae,mugwort; motherwort; sagebrush,Eur; As; N Am,leaves,van_wyk_culinary_2014
Artocarpus lakoochus,Moraceae,monkey jack,As,male flowers,van_wyk_culinary_2014
Averrhoa bilimbi,Oxalidaceae,bilimbi; cucumber tree; tree sorrel,Trop As,fruit,van_wyk_culinary_2014
Backhousia citriodora,Myrtaceae,Australian lemon myrtle; citron myrtle,Aus,leaf,van_wyk_culinary_2014
Barbarea verna,Brassicaceae,land cress,Med; W As,leaf,van_wyk_culinary_2014
Berberis vulgaris,Berberidaceae,barberry; zereshk; sereshk,Eur; As,fruit,van_wyk_culinary_2014
Bixa orellana,Bixaceae,an(n)atto; achiote; roucou,Trop Am,seed,van_wyk_culinary_2014
Boesenbergia rotunda (=Boesenbergia pandurata),Zingiberaceae,fingerroot; Chinese keys; krachai,Trop As,rhizome; root,van_wyk_culinary_2014
Borago officinalis,Boraginaceae,borage,Med; Eur,leaf; flower,van_wyk_culinary_2014
Brassica juncea,Brassicaceae,brown mustard; Chinese mustard; Indian mustard; leaf mustard; mustard green,C As,seed; leaf,van_wyk_culinary_2014
Brassica nigra,Brassicaceae,black mustard,W As,seed,van_wyk_culinary_2014
Buchanaria lanzan,Anacardiaceae,charoli; chironji,As,seed,van_wyk_culinary_2014
Bunium persicum,Apiaceae,black caraway; black cumin; black zira,Eur; As,fruit,van_wyk_culinary_2014
Bunium roxburghianum,Apiaceae,ajmud; radhuni,As,fruit,van_wyk_culinary_2014
Calamintha cretica,Lamiaceae,dwarf calamint,Med,herb,van_wyk_culinary_2014
Calamintha grandiflora,Lamiaceae,showy calamint; showy savory; large flowered calamint,S Eur,herb,van_wyk_culinary_2014
Calamintha menthifolia,Lamiaceae,calamint,Eur,herb,van_wyk_culinary_2014
Calamintha nepeta,Lamiaceae,common calamint; lesser calamint,Eur; As,herb,van_wyk_culinary_2014
Calendula officinalis,Asteraceae,pot marigold; marigold flower; calendula,S Eur?,flower,van_wyk_culinary_2014
Camellia sinensis,Theaceae,tea; chai,S & E As,leaves,van_wyk_culinary_2014
Canarium pimela,Burseraceae,Chinese black olive; Chinese black canarium,As,seed,van_wyk_culinary_2014
Canella winterana,Canellaceae,winter cinnamon; white cinnamon,N & C Am,bark,van_wyk_culinary_2014
Capparis sicula,Capparaceae,Sicili caper,Med,flower bud; unripe fruit,van_wyk_culinary_2014
Capparis spinosa,Capparaceae,capers; caper,Med,flower bud; unripe fruit,van_wyk_culinary_2014
Capsicum annuum,Solanaceae,paprika; cayenne pepper; chilli (pepper); chili (pepper); green pepper; red pepper,C Am,fruit,van_wyk_culinary_2014
Capsicum baccatum,Solanaceae,aji; Peruvian pepper,S Am (Bolivia),fruit,van_wyk_culinary_2014
Capsicum chinense,Solanaceae,yellow lantern chilli; habanero; Scotch bonnet; Chinese chilli; bonnet pepper,S Am,fruit,van_wyk_culinary_2014
Capsicum frutescens,Solanaceae,chilli; chili; bird chilli; hot pepper; Tabasco pepper; piri piri,C Am; S Am,fruit,van_wyk_culinary_2014
Capsicum pubescens,Solanaceae,rocoto; tree chilli,S Am (Andes), fruit,van_wyk_culinary_2014
