skip,sense,language,term,group,word,transliteration,source
,spice,Turkish,tarçın,,tarçın,,Wiktionary
,spice,Turkmen,darçyn,,darçyn,,Wiktionary
,spice,Ukrainian,кори́ця *korýcja*,,кори́ця,korýcja,Wiktionary
,spice,Ukrainian,цинамо́н *cynamón*,,цинамо́н,cynamón,Wiktionary
,spice,Urdu,دارچینی *dārcīnī*,,دارچینی,dārcīnī,Wiktionary
,spice,Uyghur,دارچىن *darchin*,,دارچىن,darchin,Wiktionary
,spice,Uzbek,dolchin,,dolchin,,Wiktionary
,spice,Uzbek,koritsa,,koritsa,,Wiktionary
,spice,Venetian,canela,,canela,,Wiktionary
,spice,Vietnamese,quế,,quế,,Wiktionary
,''Cinnamomum_verum'',Vietnamese,cây quế,,cây quế,,Wiktionary
,''Cinnamomum_verum'',Volapük,kirfatabim,,kirfatabim,,Wiktionary
,spice,Volapük,kirfat,,kirfat,,Wiktionary
,''Cinnamomum_verum'',Volapük,kirfatep,,kirfatep,,Wiktionary
,spice,Welsh,synamon,,synamon,,Wiktionary
,spice,Yiddish,צימערינג *tsimering*,,צימערינג,tsimering,Wiktionary
,spice,Yiddish,צימרינג *tsimring*,,צימרינג,tsimring,Wiktionary
